criterion,model_name,n,random_state,runtime,test_acc,test_nll,test_bma_acc,test_clml
l2-sp,l2-sp_alpha=0.001_beta=1e-06_lr_0=0.001_n=100_random_state=3001,100,3001,2954.820704460144,0.7368,0.8850664438247681,0.7361,-1.0014094027379006
l2-sp,l2-sp_alpha=0.001_beta=1e-06_lr_0=0.0001_n=100_random_state=1001,100,1001,2933.511972427368,0.5902000000000001,1.286727041625977,0.5909,-7.121527543912217
l2-sp,l2-sp_alpha=0.001_beta=1e-06_lr_0=0.0001_n=100_random_state=2001,100,2001,2972.2030572891235,0.6500999999999999,1.053172241210937,0.6492,-5.209745279202744
l2-sp,l2-sp_alpha=0.001_beta=1e-06_lr_0=0.0001_n=100_random_state=3001,100,3001,2943.092862844467,0.7135999999999999,0.9079441556930544,0.7139,-4.18790899837999
l2-sp,l2-sp_alpha=0.001_beta=0.0_lr_0=0.1_n=100_random_state=1001,100,1001,2987.511817932129,0.8002,0.7810427945137024,0.1032,-inf
l2-sp,l2-sp_alpha=0.001_beta=0.0_lr_0=0.1_n=100_random_state=2001,100,2001,2943.572730779648,0.7952,0.7610277872085571,0.1192,-inf
l2-sp,l2-sp_alpha=0.001_beta=0.0_lr_0=0.1_n=100_random_state=3001,100,3001,2950.5817041397095,0.8010999999999999,0.7325949844360351,0.0877,-inf
l2-sp,l2-sp_alpha=0.001_beta=0.0_lr_0=0.01_n=100_random_state=1001,100,1001,3083.670688390732,0.7663,0.8176322769165038,0.1342,-inf
l2-sp,l2-sp_alpha=0.001_beta=0.0_lr_0=0.01_n=100_random_state=2001,100,2001,3020.1545362472534,0.7812,0.8584352493286133,0.1,-inf
l2-sp,l2-sp_alpha=0.001_beta=0.0_lr_0=0.01_n=100_random_state=3001,100,3001,2965.650556564331,0.8059000000000001,0.7300129837036128,0.0812,-inf
l2-sp,l2-sp_alpha=0.001_beta=0.0_lr_0=0.001_n=100_random_state=1001,100,1001,2952.932769060135,0.6619,1.0971545978546142,0.6466000000000001,-4.225065103421494
l2-sp,l2-sp_alpha=0.001_beta=0.0_lr_0=0.001_n=100_random_state=2001,100,2001,2959.8620278835297,0.6843,1.134671823120117,0.6598,-6.667268863568589
l2-sp,l2-sp_alpha=0.001_beta=0.0_lr_0=0.001_n=100_random_state=3001,100,3001,2919.390925168991,0.7368,0.8850473394393918,0.6893,-6.351169219861314
l2-sp,l2-sp_alpha=0.001_beta=0.0_lr_0=0.0001_n=100_random_state=1001,100,1001,2930.345111846924,0.5902000000000001,1.2867326210021983,0.5923999999999999,-7.535438648114487
l2-sp,l2-sp_alpha=0.001_beta=0.0_lr_0=0.0001_n=100_random_state=2001,100,2001,2966.7366704940796,0.6500999999999999,1.053168400192261,0.6491,-5.216484418759629
l2-sp,l2-sp_alpha=0.001_beta=0.0_lr_0=0.0001_n=100_random_state=3001,100,3001,2896.19149684906,0.7135999999999999,0.9079399761199952,0.7139,-4.187888971219346
l2-sp,l2-sp_alpha=0.0001_beta=0.01_lr_0=0.1_n=100_random_state=1001,100,1001,2957.707226037979,0.6925999999999999,1.504542953491211,0.6643,-1.3530400904515236
l2-sp,l2-sp_alpha=0.0001_beta=0.01_lr_0=0.1_n=100_random_state=2001,100,2001,2994.301337957382,0.677,1.7964802787780765,0.6689,-0.987304559598252
l2-sp,l2-sp_alpha=0.0001_beta=0.01_lr_0=0.1_n=100_random_state=3001,100,3001,3075.306069612503,0.6868000000000001,1.8043056194305416,0.6867,-0.6486786517003029
l2-sp,l2-sp_alpha=0.0001_beta=0.01_lr_0=0.01_n=100_random_state=1001,100,1001,2976.93753862381,0.7047000000000001,1.091225096511841,0.7039000000000001,-1.007717958340928
