criterion,model_name,n,random_state,runtime,test_acc,test_nll
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.0001_n=1000_random_state=2001,1000,2001,2352.5625138282776,0.8061999082565308,0.8099591488838196
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.0001_n=1000_random_state=3001,1000,3001,2016.8650486469269,0.796999990940094,0.8042549634933471
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.0001_n=10000_random_state=1001,10000,1001,2167.328049659729,0.8047999739646912,0.815967863082886
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.0001_n=10000_random_state=2001,10000,2001,2222.9310393333435,0.8134999871253967,0.8471363370895386
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.0001_n=10000_random_state=3001,10000,3001,2193.492223262787,0.8093000054359436,0.8415412260055541
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.0001_n=50000_random_state=1001,50000,1001,2271.480119943619,0.804099977016449,0.830447744655609
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.0001_n=50000_random_state=2001,50000,2001,2147.1646008491516,0.8156000375747681,0.8477708359718324
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.0001_n=50000_random_state=3001,50000,3001,2120.681287050247,0.8069000244140625,0.8541918844223024
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.1_n=100_random_state=1001,100,1001,1753.406387090683,0.6753000020980835,1.1705372499465942
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.1_n=100_random_state=2001,100,2001,1759.1092805862427,0.648300051689148,1.2895640419006345
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.1_n=100_random_state=3001,100,3001,1619.1653923988342,0.6987000107765198,1.0797972667694091
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.1_n=1000_random_state=1001,1000,1001,2269.351467847824,0.8827000260353088,0.4628165834665299
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.1_n=1000_random_state=2001,1000,2001,2153.9341893196106,0.8739000558853149,0.5104519068717956
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.1_n=1000_random_state=3001,1000,3001,2154.4988157749176,0.881600022315979,0.5055882970809935
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.1_n=10000_random_state=1001,10000,1001,2015.1589024066925,0.9509000182151794,0.1908806495666503
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.1_n=10000_random_state=2001,10000,2001,2275.0316474437714,0.945800006389618,0.2138872604370117
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.1_n=10000_random_state=3001,10000,3001,2420.942704439163,0.947700023651123,0.2060431626796722
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.1_n=50000_random_state=1001,50000,1001,1995.3594102859497,0.9681999683380128,0.1030422102212906
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.1_n=50000_random_state=2001,50000,2001,2568.769429922104,0.9675999879837036,0.1023151866495609
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.1_n=50000_random_state=3001,50000,3001,2204.514261007309,0.9673000574111938,0.1038720724344253
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.01_n=100_random_state=1001,100,1001,1839.7621331214905,0.6805000305175781,0.9933029310226442
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.01_n=100_random_state=2001,100,2001,1627.5406482219696,0.6671000123023987,1.045255772781372
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.01_n=100_random_state=3001,100,3001,1709.6011970043182,0.6881000399589539,0.9775979217529296
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.01_n=1000_random_state=1001,1000,1001,2188.038882493973,0.8722999691963196,0.4555198504447939
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.01_n=1000_random_state=2001,1000,2001,2044.4571747779846,0.8677000403404236,0.4634748455047609
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.01_n=1000_random_state=3001,1000,3001,2089.046628713608,0.8653000593185425,0.4756577328681947
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.01_n=10000_random_state=1001,10000,1001,2028.2771911621094,0.9406999945640564,0.2304399406433105
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.01_n=10000_random_state=2001,10000,2001,2018.0472719669342,0.94240003824234,0.2223689092636108
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.01_n=10000_random_state=3001,10000,3001,2033.3463344573975,0.9419999718666076,0.2179588875293732
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.01_n=50000_random_state=1001,50000,1001,2062.820332288742,0.9638999700546264,0.1229747883796691
